DEA RMSE: 2.21473959472503, MAE: 1.6397800126573832
DIA RMSE: 1.495449183420162, MAE: 1.1880402518257982

DEA RMSE: 1.9884768117478795, MAE: 1.242774367970173
DIA RMSE: 1.0031072719844774, MAE: 0.845456033330204

DEA RMSE: 4.793564538306516, MAE: 2.734052875574904
DIA RMSE: 2.0540438066648714, MAE: 1.4817993418390891

DEA RMSE: 1.444210519920236, MAE: 0.9811099109000553
DIA RMSE: 0.9532305910138226, MAE: 0.7462386275350371

DEA RMSE: 3.1382153034834097, MAE: 1.7652986973782605
DIA RMSE: 1.4133340668609369, MAE: 1.0769121186490538
